,Year_0,row_id,conf2can_0
1204,2022,2022_833,Various
1206,2022,2022_834,Supercomputing
1207,2022,2022_834,and RSE Conference
1213,2022,2022_840,Conference of Research Software Engineers
1214,2022,2022_841,ASPLOS
1222,2022,2022_849,RSE Conference
1223,2022,2022_849,domain conferences
1224,2022,2022_849,project workshops
1228,2022,2022_851,ECMWF Reproducible Worrkflows Workshop
1230,2022,2022_851,ESIP January Meeting
1236,2022,2022_857,rencontre interdisciplianres
1240,2022,2022_861,JOBIM
1242,2022,2022_863,Society for Neuroscience Annual Meeting
1243,2022,2022_864,ECCB
1245,2022,2022_866,SNMMI
1246,2022,2022_866,EANM
1248,2022,2022_868,VIZBI
1249,2022,2022_868,ISMB/ECCB
1250,2022,2022_868,JOBIM
1262,2022,2022_878,LREC
1263,2022,2022_878,DH
1264,2022,2022_878,DHd
1265,2022,2022_878,LDK
1266,2022,2022_878,LDL
1267,2022,2022_878,LaTeCH
1270,2022,2022_881,DLF
1271,2022,2022_881,DHSI
1272,2022,2022_881,RAI
1273,2022,2022_881,DH
1274,2022,2022_881,LREC
1275,2022,2022_881,ACL
1279,2022,2022_885,DLRK
1280,2022,2022_885,SMART
1283,2022,2022_887,RSE
1287,2022,2022_891,SciPy
1288,2022,2022_891,ACAT
1289,2022,2022_891,CHEP
1290,2022,2022_892,RSE Conference
1298,2022,2022_900,NOBUGS
1299,2022,2022_900,American Conference of Neutron Scattering
1302,2022,2022_901,Domain Conference for Large Scale User Facilities (Synchrotrons
1303,2022,2022_901,Neutrons
1309,2022,2022_906,Plant Animal Genome
1310,2022,2022_906,Society for Biocuration
1315,2022,2022_911,SSI collaborations workshop
1316,2022,2022_912,PEARC
1317,2022,2022_913,Gateways Conference
1319,2022,2022_913,Supercomputing RSE Workshop
1320,2022,2022_913,Domain specific conferences/workshops
1322,2022,2022_915,eResearch NZ
1325,2022,2022_917,Jahrestagung der Gesellschaft für Musikforschung (GfM)
1326,2022,2022_917,Akademie der Wissenschaften und der Literatur Mainz (ADW Mainz)
1327,2022,2022_918,DESRIST
1328,2022,2022_918,ICIS
1329,2022,2022_918,HICSS
1330,2022,2022_918,WI
1331,2022,2022_918,MKWI 
1333,2022,2022_920,TDWG
1334,2022,2022_920,Evolution
1336,2022,2022_922,eResearch NZ
1337,2022,2022_922,DRAKKAR
1338,2022,2022_922,eScience coding conference
1344,2022,2022_928,SIGMOD
1345,2022,2022_928,SciPy
1346,2022,2022_929,ESIP
1347,2022,2022_930,EPS
1348,2022,2022_930,DPG
1351,2022,2022_933,DH
1352,2022,2022_933,DHd Jahreskonferenzen
1354,2022,2022_935,RSE
1355,2022,2022_935,SRI DESY User Days
1356,2022,2022_935,ESRF UM
1357,2022,2022_936,Software Engineering (SE)
1359,2022,2022_938,The r user group
1360,2022,2022_939,GAMM
1361,2022,2022_939,FEniCS
1362,2022,2022_939,ProcessNet
1363,2022,2022_939,APS DFD
1364,2022,2022_939,Droplets
1369,2022,2022_943,euro scipy
1375,2022,2022_949,UK OpenMP User meet
1379,2022,2022_953,IIIF conference
1380,2022,2022_953,Museum Computing Group conference
1382,2022,2022_954,GCC
1383,2022,2022_954,JOBIM
1384,2022,2022_954,ELIXIR workshops
1387,2022,2022_956,ICSE
1389,2022,2022_957,BOSC
1390,2022,2022_957,Medical Informatics Europe
1391,2022,2022_957,ISC High Performance
1392,2022,2022_957,IEEE Conference on Biomedical and Health Informatics
1393,2022,2022_957,IEEE BigData
